category,item,required_level,owner,available_status,source_file_or_record,gap_owner,gap_due_date,notes
order,order_identity,required,,,,,
order,order_source,required,,,,,
order,part_and_quantity,required,,,,,
order,material_requirement,required,,,,,
order,delivery_assumption,required,,,,,
order,commercial_baseline,required,,,,,
order,historical_outcome,required,,,,,
drawing_cad,drawing_file,required,,,,,
drawing_cad,drawing_id,required,,,,,
drawing_cad,drawing_revision,required,,,,,
drawing_cad,units,required,,,,,
drawing_cad,key_tolerances,required,,,,,
drawing_cad,critical_characteristics,required,,,,,
drawing_cad,cad_file,required,,,,,
drawing_cad,cad_model_id,required,,,,,
drawing_cad,cad_model_revision,required,,,,,
machine,machine_id,required,,,,,
machine,machine_make_model,required,,,,,
machine,cnc_control,required,,,,,
machine,plc_safety_boundary,required,,,,,
machine,axis_configuration,required,,,,,
machine,work_envelope,required,,,,,
machine,spindle_capability,required,,,,,
machine,probe_status,required,,,,,
machine,tool_setter_status,required,,,,,
machine,network_path,required,,,,,
machine,available_protocol,required,,,,,
machine,readable_data,required,,,,,
machine,writable_data,required,,,,,
machine,blocked_writes,required,,,,,
sensors,cnc_plc_data_interface,required_for_phase_1,,,,,
sensors,workpiece_probe,required_for_phase_1,,,,,
sensors,laser_tool_setter_break_detection,required_for_phase_1,,,,,
sensors,tool_identity_confirmation,required_for_phase_1,,,,,
sensors,fixture_identity_confirmation,required_for_phase_1,,,,,
sensors,pallet_identity_confirmation,required_for_phase_1,,,,,
sensors,edge_hmi_scanner,required_for_phase_1,,,,,
process_cam_nc,historical_routing,required,,,,,
process_cam_nc,selected_operation,required,,,,,
process_cam_nc,setup_sheet,required,,,,,
process_cam_nc,tool_list,required,,,,,
process_cam_nc,cam_project_or_export,required,,,,,
process_cam_nc,nc_program,required,,,,,
process_cam_nc,simulation_evidence,required,,,,,
tools_fixtures_material,tool_assembly_ids,required,,,,,
tools_fixtures_material,tool_versions,required,,,,,
tools_fixtures_material,tool_geometry,required,,,,,
tools_fixtures_material,tool_life_status,required,,,,,
tools_fixtures_material,fixture_id,required,,,,,
tools_fixtures_material,fixture_version,required,,,,,
tools_fixtures_material,pallet_id,required,,,,,
tools_fixtures_material,pallet_version,required,,,,,
tools_fixtures_material,material_lot_id,required,,,,,
tools_fixtures_material,material_spec,required,,,,,
tools_fixtures_material,stock_size,required,,,,,
inspection_quality,inspection_plan_id,required,,,,,
inspection_quality,inspection_plan_version,required,,,,,
inspection_quality,critical_characteristics,required,,,,,
inspection_quality,measurement_method,required,,,,,
inspection_quality,acceptance_criteria,required,,,,,
inspection_quality,historical_inspection_report,required,,,,,
history_exceptions,actual_machine_time,recommended,,,,,
history_exceptions,actual_setup_time,recommended,,,,,
history_exceptions,alarm_history,recommended,,,,,
history_exceptions,tool_break_or_wear_notes,recommended,,,,,
history_exceptions,scrap_or_rework_notes,recommended,,,,,
owners,program_owner,required,,,,,
owners,system_owner,required,,,,,
owners,quote_owner,required,,,,,
owners,process_owner,required,,,,,
owners,cam_owner,required,,,,,
owners,machine_owner,required,,,,,
owners,edge_controls_owner,required,,,,,
owners,quality_owner,required,,,,,
owners,operator_representative,recommended,,,,,
